File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,24.684731%,3817,800,3774,43,0,800
queue.o,15.611460%,2414,64,2394,20,0,64
port.o,6.680463%,1033,9,988,41,4,5
mc_w.l,6.195434%,958,4,954,0,4,0
timers.o,6.072560%,939,60,918,21,0,60
main.o,4.682145%,724,20,724,0,0,20
heap_4.o,4.294121%,664,76828,626,38,0,76828
gd32f4xx_usart.o,3.828494%,592,0,592,0,0,0
printf4.o,3.802626%,588,0,588,0,0,0
usart0.o,3.647416%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.453405%,534,4,530,0,4,0
exti.o,3.039514%,470,0,470,0,0,0
gd32f4xx_dma.o,2.806700%,434,0,434,0,0,0
startup_gd32f407_427.o,2.767898%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.862511%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.771972%,274,0,274,0,0,0
gd32f4xx_misc.o,1.164069%,180,0,180,0,0,0
list.o,0.970058%,150,0,150,0,0,0
uldiv.o,0.633771%,98,0,98,0,0,0
init.o,0.310418%,48,0,48,0,0,0
puts.o,0.232814%,36,0,36,0,0,0
memseta.o,0.232814%,36,0,36,0,0,0
memcpya.o,0.232814%,36,0,36,0,0,0
llushr.o,0.206946%,32,0,32,0,0,0
llshl.o,0.194012%,30,0,30,0,0,0
handlers.o,0.194012%,30,0,30,0,0,0
gd32f4xx_exti.o,0.194012%,30,0,30,0,0,0
gd32f4xx_it.o,0.077605%,12,0,12,0,0,0
entry9a.o,0.051736%,8,0,8,0,0,0
entry2.o,0.051736%,8,0,8,0,0,0
stdout.o,0.025868%,4,4,0,0,4,0
entry5.o,0.025868%,4,0,4,0,0,0
