File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,25.173763%,3151,800,3108,43,0,800
queue.o,8.164896%,1022,64,1002,20,0,64
timers.o,7.501798%,939,60,918,21,0,60
port.o,7.326036%,917,9,872,41,4,5
mc_w.l,5.800112%,726,4,722,0,4,0
heap_4.o,5.304786%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.729568%,592,0,592,0,0,0
usart0.o,4.505872%,564,1028,564,0,0,1028
system_gd32f4xx.o,4.266198%,534,4,530,0,4,0
printf3.o,3.770872%,472,0,472,0,0,0
exti.o,3.754893%,470,0,470,0,0,0
gd32f4xx_dma.o,3.467284%,434,0,434,0,0,0
startup_gd32f407_427.o,3.419350%,428,1024,36,392,0,1024
main.o,3.275545%,410,12,410,0,0,12
gd32f4xx_rcu.o,2.300871%,288,0,280,8,0,0
gd32f4xx_gpio.o,2.236958%,280,0,280,0,0,0
gd32f4xx_misc.o,1.438044%,180,0,180,0,0,0
list.o,1.198370%,150,0,150,0,0,0
init.o,0.383478%,48,0,48,0,0,0
uidiv.o,0.351522%,44,0,44,0,0,0
puts.o,0.287609%,36,0,36,0,0,0
memseta.o,0.287609%,36,0,36,0,0,0
memcpya.o,0.287609%,36,0,36,0,0,0
handlers.o,0.239674%,30,0,30,0,0,0
gd32f4xx_exti.o,0.239674%,30,0,30,0,0,0
gd32f4xx_it.o,0.095870%,12,0,12,0,0,0
entry9a.o,0.063913%,8,0,8,0,0,0
entry2.o,0.063913%,8,0,8,0,0,0
stdout.o,0.031957%,4,4,0,0,4,0
entry5.o,0.031957%,4,0,4,0,0,0
